part,model,source,target,source_risk,target_risk,tv,abs_gap_over_tv,model_arm_loss_disagreement,bound_holds,treatment,empirical_risk,population_risk,absolute_gap,hoeffding_radius
step2_trained_tv,ova-alpha-0.5,2,3,0.005169041160008874,0.008445305411525265,0.2664548458966009,0.01229575780651316,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,3,0,0.008445305411525265,0.007824796440719295,0.5798359356089058,0.0010701457648608014,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,3,1,0.008445305411525265,0.005011959215517452,0.42847686776670113,0.008012909107329491,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,3,2,0.008445305411525265,0.005169041160008874,0.2664548458966009,0.01229575780651316,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-2,0,1,0.15683420126331804,0.09984759108079275,0.27232900592007064,0.2092564836786098,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,0,2,0.15683420126331804,0.08667129935549095,0.4397316797430353,0.15955844243204853,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,0,3,0.15683420126331804,0.11634736249027879,0.5798359356089058,0.06982464570865658,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,1,0,0.09984759108079275,0.15683420126331804,0.27232900592007064,0.2092564836786098,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,1,2,0.09984759108079275,0.08667129935549095,0.176048288085827,0.07484475917697135,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,1,3,0.09984759108079275,0.11634736249027879,0.42847686776670113,0.03850796309141688,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,2,0,0.08667129935549095,0.15683420126331804,0.4397316797430353,0.15955844243204853,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,2,1,0.08667129935549095,0.09984759108079275,0.176048288085827,0.07484475917697135,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,2,3,0.08667129935549095,0.11634736249027879,0.2664548458966009,0.11137370399449885,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,3,0,0.11634736249027879,0.15683420126331804,0.5798359356089058,0.06982464570865658,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,3,1,0.11634736249027879,0.09984759108079275,0.42847686776670113,0.03850796309141688,1.1102230246251565e-16,True,,,,,
step2_trained_tv,ova-alpha-2,3,2,0.11634736249027879,0.08667129935549095,0.2664548458966009,0.11137370399449885,1.1102230246251565e-16,True,,,,,
step2_trained_tv,agg-alpha-0,0,1,8.462018454970337e-05,6.908303341183991e-05,0.27232900592007064,5.7052869140291525e-05,3.903127820947816e-18,True,,,,,
step2_trained_tv,agg-alpha-0,0,2,8.462018454970337e-05,7.979975379525932e-05,0.4397316797430353,1.0962209402927142e-05,3.903127820947816e-18,True,,,,,
step2_trained_tv,agg-alpha-0,0,3,8.462018454970337e-05,0.00012002538403614081,0.5798359356089058,6.106071961417364e-05,3.903127820947816e-18,True,,,,,
step2_trained_tv,agg-alpha-0,1,0,6.908303341183991e-05,8.462018454970337e-05,0.27232900592007064,5.7052869140291525e-05,3.903127820947816e-18,True,,,,,
step2_trained_tv,agg-alpha-0,1,2,6.908303341183991e-05,7.979975379525932e-05,0.176048288085827,6.087375514946675e-05,3.903127820947816e-18,True,,,,,
step2_trained_tv,agg-alpha-0,1,3,6.908303341183991e-05,0.00012002538403614081,0.42847686776670113,0.00011889171728177915,3.903127820947816e-18,True,,,,,
step2_trained_tv,agg-alpha-0,2,0,7.979975379525932e-05,8.462018454970337e-05,0.4397316797430353,1.0962209402927142e-05,3.903127820947816e-18,True,,,,,
step2_trained_tv,agg-alpha-0,2,1,7.979975379525932e-05,6.908303341183991e-05,0.176048288085827,6.087375514946675e-05,3.903127820947816e-18,True,,,,,
